MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
1211.8900146	1211.8900146	1183.25	1178.7230225	2501.97998
1212.040039	1212.040039	1183.4	1178.8450928	2458
1212.1899414	1212.1899414	1183.5499268	1178.967041	2458.4008789
1212.49	1212.49	1183.8499756	1179.21106	2459.2006836
1212.6400146	1212.6400146	1184	1179.3339844	2438.945801
1212.790039	1212.790039	1184.1500244	1179.456909	2441.311279
1212.9399414	1212.9399414	1184.3	1179.5799561	2436.9611816
1213.0899658	1213.0899658	1184.4499512	1179.703979	2420.18457
1213.24	1213.24	1184.6	1179.8280029	2417.859619
1213.3900146	1213.3900146	1184.75	1179.9509277	2441.311279
1213.540039	1213.540039	1184.9	1180.071899	2479.795166
1213.6899414	1213.6899414	1185.0499268	1180.19397	2456
1213.8399658	1213.8399658	1185.2	1180.3150635	2479.795166
1213.99	1213.99	1185.3499756	1180.4370117	2460.402832
1214.1400146	1214.1400146	1185.5	1180.559082	2458
1214.290039	1214.290039	1185.6500244	1180.6818848	2441.311279
1214.4399414	1214.4399414	1185.8	1180.80603	2415.892334
1214.5899658	1214.5899658	1185.9499512	1180.9329834	2363.3728027
1214.74	1214.74	1186.1	1181.06311	2307.050293
1214.8900146	1214.8900146	1186.25	1181.1950684	2273.7055664
1215.040039	1215.040039	1186.4	1181.3249512	2309.1669922
1215.1899414	1215.1899414	1186.5499268	1181.453979	2324.3474121
1215.3399658	1215.3399658	1186.7	1181.5810547	2361.1557617
1215.49	1215.49	1186.8499756	1181.7091064	2343.5678711
1215.6400146	1215.6400146	1187	1181.838989	2309.1669922
1215.790039	1215.790039	1187.1500244	1181.9709473	2273.7055664
1215.9399414	1215.9399414	1187.3	1182.1030273	2269.8049316
1216.0899658	1216.0899658	1187.4499512	1182.2320557	2326.2402344
1216.24	1216.24	1187.6	1182.3601074	2343.5678711
1216.3900146	1216.3900146	1187.75	1182.487061	2363.3728027
1216.540039	1216.540039	1187.9	1182.6159668	2326.2402344
1216.6899414	1216.6899414	1188.0499268	1182.7460938	2305.1730957
1216.8399658	1216.8399658	1188.2	1182.8769531	2292.342529
1216.99	1216.99	1188.3499756	1183.0090332	2271.65332
1217.1400146	1217.1400146	1188.5	1183.138916	2309.1669922
1217.290039	1217.290039	1188.6500244	1183.269043	2307.050293
1217.4399414	1217.4399414	1188.8	1183.4	2288.3930664
1217.5899658	1217.5899658	1188.9499512	1183.5319824	2273.7055664
1217.74	1217.74	1189.1	1183.6660156	2239.31665
1217.8900146	1217.8900146	1189.25	1183.8029785	2190.5935059
1218.040039	1218.040039	1189.4	1183.94104	2173.5681152
1218.1899414	1218.1899414	1189.5499268	1184.0799561	2156.8986816
1218.3399658	1218.3399658	1189.7	1184.2189941	2158.6552734
1218.49	1218.49	1189.8499756	1184.3530273	2239.31665
1218.6400146	1218.6400146	1190	1184.4849854	2273.7055664
1218.790039	1218.790039	1190.1500244	1184.6170654	2271.65332
1218.9399414	1218.9399414	1190.3	1184.7519531	2221.6818848
1219.0899658	1219.0899658	1190.4499512	1184.8880615	2205.9526367
1219.24	1219.24	1190.6	1185.02002	2273.7055664
1219.3900146	1219.3900146	1190.75	1185.151001	2290.2565918
1219.540039	1219.540039	1190.9	1185.2799072	2326.2402344
1219.6899414	1219.6899414	1191.0499268	1185.407959	2341.6611328
1219.8399658	1219.8399658	1191.2	1185.5369873	2326.2402344
1219.99	1219.99	1191.3499756	1185.6669922	2307.050293
1220.1400146	1220.1400146	1191.5	1185.79895	2273.7055664
1220.290039	1220.290039	1191.6500244	1185.9320068	2255.369141
1220.4399414	1220.4399414	1191.8	1186.0649414	2255.5551758
1220.5899658	1220.5899658	1191.9499512	1186.1989746	2239.31665
