'Depth(m)'	'AI_from_well_tie(m/s x g/cc)'	'Synthetic_from_well_tie'	'AI_from_well_tie_Smoothed(m/s x g/cc)'
105.308403	1e30	1e30	1e30
105.4608	1e30	1e30	1e30
105.613205	1e30	1e30	1e30
105.7656021	1e30	1e30	1e30
105.918	1e30	1e30	1e30
106.0704041	1e30	1e30	1e30
106.2228012	1e30	1e30	1e30
106.3751984	1e30	1e30	1e30
106.5276031	1e30	1e30	1e30
106.68	1e30	1e30	1e30
106.8324051	1e30	1e30	1e30
106.9848022	1e30	1e30	1e30
107.137199	1e30	1e30	1e30
107.2896042	1e30	1e30	1e30
107.4420013	1e30	1e30	1e30
107.5943985	1e30	1e30	1e30
107.7468033	1e30	1e30	1e30
107.8992	1e30	1e30	1e30
108.0515976	1e30	1e30	1e30
108.2040024	1e30	1e30	1e30
108.3564	1e30	1e30	1e30
108.5088043	1e30	1e30	1e30
108.6612015	1e30	1e30	1e30
108.8135986	1e30	1e30	1e30
108.9660034	1e30	1e30	1e30
109.118401	1e30	1e30	1e30
109.2707977	1e30	1e30	1e30
109.4232025	1e30	1e30	1e30
109.5756	1e30	1e30	1e30
109.7280045	1e30	1e30	1e30
109.8804016	1e30	1e30	1e30
110.0327988	1e30	1e30	1e30
110.1852036	1e30	1e30	1e30
110.337601	1e30	1e30	1e30
110.49	1e30	1e30	1e30
110.6424026	1e30	1e30	1e30
110.7948	1e30	1e30	1e30
110.9472046	1e30	1e30	1e30
111.0996017	1e30	1e30	1e30
111.2519989	1e30	1e30	1e30
111.4044037	1e30	1e30	1e30
111.556801	1e30	1e30	1e30
111.709198	1e30	1e30	1e30
111.8616028	1e30	1e30	1e30
112.014	1e30	1e30	1e30
112.1664047	1e30	1e30	1e30
112.3188019	1e30	1e30	1e30
112.471199	1e30	1e30	1e30
112.6236038	1e30	1e30	1e30
112.776001	1e30	1e30	1e30
112.9283981	1e30	1e30	1e30
113.0808029	1e30	1e30	1e30
113.2332	1e30	1e30	1e30
113.3856049	1e30	1e30	1e30
113.538002	1e30	1e30	1e30
113.690399	1e30	1e30	1e30
113.842804	1e30	1e30	1e30
113.9952011	1e30	1e30	1e30
114.1475983	1e30	1e30	1e30
114.3	1e30	1e30	1e30
114.4524	1e30	1e30	1e30
114.604805	1e30	1e30	1e30
114.7572021	1e30	1e30	1e30
114.909599	1e30	1e30	1e30
115.0620041	1e30	1e30	1e30
115.2144012	1e30	1e30	1e30
115.3667984	1e30	1e30	1e30
115.5192032	1e30	1e30	1e30
115.6716	1e30	1e30	1e30
115.8240051	1e30	1e30	1e30
115.9764023	1e30	1e30	1e30
116.128799	1e30	1e30	1e30
116.2812042	1e30	1e30	1e30
116.4336014	1e30	1e30	1e30
116.5859985	1e30	1e30	1e30
116.7384033	1e30	1e30	1e30
116.8908	1e30	1e30	1e30
117.0431976	1e30	1e30	1e30
117.1956024	1e30	1e30	1e30
117.348	1e30	1e30	1e30
117.5004044	1e30	1e30	1e30
117.6528015	1e30	1e30	1e30
117.8051987	1e30	1e30	1e30
117.9576035	1e30	1e30	1e30
118.11	1e30	1e30	1e30
118.2623978	1e30	1e30	1e30
118.4148026	1e30	1e30	1e30
118.5672	1e30	1e30	1e30
118.7196045	1e30	1e30	1e30
118.8720016	1e30	1e30	1e30
119.0243988	1e30	1e30	1e30
119.1768036	1e30	1e30	1e30
119.329201	1e30	1e30	1e30
119.4815979	1e30	1e30	1e30
119.6340027	1e30	1e30	1e30
119.7864	1e30	1e30	1e30
119.9388046	1e30	1e30	1e30
120.0912018	1e30	1e30	1e30
120.2435989	1e30	1e30	1e30
120.3960037	1e30	1e30	1e30
